(عبدالقادر),(abdulqadir)
(عبداللطيف),(abdulatif)
(عبدالسلام),(abdulsalam)
(عبدالرحيم),(abdulraheem)
(عبدالوهاب),(abdulwahab)
(عبدالعزيز),(abdulazziz)
(الاتصالات),(alitisalat)
(عبدالحميد),(abdulhameed)
(عبدالكريم),(abdulkareem)
(عبدالرحمن),(abdulrahman)
(عبدالمجيد),(abdulmajeed)
(الجمهورية),(aljomhoriya)
(عبدالمطلب),(abdulmotaleb)
(عبدالمحسن),(abdulmohsin)
(المهندسين),(almuhandiseen)
(المستشفى),(almustashfa)
(عبدالملك),(abdulmalik)
(العزيزيه),(aluzaiziah)
(المستقبل),(almustaqbal)
(العزيزية),(aluzaizia)
(الخالديه),(alkhaldiyah)
(الثلاثين),(althalathen)
(الزهراني),(alzahrani)
(المنصورة),(almansora)
(العسكريه),(al'askariya)
(الياسمين),(alyasmeen)
(السعودية),(alsauodiah)
(الخالدية),(alkhaldiyah)
(الشهراني),(alsharani)
(القادسية),(alqadissiyah)
(المجاورة),(almujawira)
(العسكرية),(al'askariya)
(للسيارات),(lilsayarat)
(المنصوري),(almansoori)
(الانصاري),(alansari)
(المؤمنين),(almomneen)
(الكورنيش),(alkhurnesh)
(السيارات),(alsayarat)
(الفيصلية),(alfaysaliah)
(الكهرباء),(alkahraba)
(الاستلام),(alestilam)
(الشمالية),(alshamalia)
(الموبايل),(almobile)
(الصناعيه),(alsinae'ia)
(عبدالاله),(abdulillah)
(الامارات),(alimarat)
(القحطاني),(alqahtani)
(الصناعية),(alsinae'ia)
(الأربعين),(alarba'een)
(الشمراني),(alshamrani)
(المجاوره),(almojawira)
(الاربعين),(alarbe'en)
(الفيصليه),(alfaysaliah)
(النعمان),(alnu'man)
(الجامعه),(aljami'a)
(المطيري),(almutairi)
(البلدية),(albaladiya)
(المكرمة),(almukarama)
(العنوان),(alenwan)
(العمودي),(al'amodi)
(الايوبي),(alayoubi)
(الحمادي),(alhamadi)
(الرشيدي),(alrashidi)
(التواصل),(altawasal)
(المعارض),(alma'arid)
(الحازمي),(alhazimmi)
(الخالدي),(alkhaldi)
(الاحمدي),(alahmadi)
(الثالثة),(althalitha)
(المنورة),(almunawara)
(المعادى),(alma'adi)
(الراجحي),(alrajhi)
(العربية),(alarabia)
(الرفاعي),(alrefa'e)
(السعودي),(alsoudi)
(التخصصي),(altakhasosi)
(الجفالي),(aljafali)
(المنوره),(almunawara)
(الاستاذ),(alustath)
(الغربيه),(algharbiah)
(المالكي),(almalki)
(الاهرام),(alahram)
(الاندلس),(alandalus)
(الزيتون),(alzayton)
(التعاون),(alta'awon)
(المدرسة),(almadrasa)
(الدائري),(alda'ere)
(العسيري),(alussairi)
(الجزيرة),(aljazeera)
(اسماعيل),(ismael)
(القاهره),(alqahira)
(الرياضي),(alriyade)
(الفيحاء),(alfayha')
(الفردوس),(alfardos)
(الحارثي),(alharthi)
(البلوشي),(alblushi)
(العماره),(alamarra)
(الأتصال),(alitisal)
(السلطان),(alsultan)
(المدينه),(almadina)
(العمارة),(alamara)
(الجديدة),(aljadeda)
(التجاري),(altijari)
(الزهراء),(alzahra')
(المنصور),(almansor)
(الخامسة),(alkhamissa)
(بورسعيد),(bur saeed)
(المنطقة),(almantiqa)
(الشمالي),(alshamali)
(الجديده),(aljadedah)
(الدوسري),(aldusari)
(الإتصال),(alitisal)
(البوابة),(albawabba)
(الشافعي),(alshafe'e)
(الاتحاد),(alitihad)
(المهندس),(almuhandis)
(الاسمري),(alasmari)
(الشامسي),(alshamsi)
(إبراهيم),(ibrahim)
(الاسكان),(aliskan)
(الحمراء),(alhamra)
(التسليم),(altasleem)
(الثانية),(althaniya)
(الجزائر),(aljaza'er)
(التميمي),(altamimi)
(القديمه),(alqadima)
(السبيعي),(alsubai'e)
(الشرقية),(alsharqiya)
(الحرمين),(alharameen)
(التوحيد),(altawheed)
(الرويلي),(alroyaele)
(الاتصال),(aletisal)
(القاهرة),(alqahira)
(الجنوبي),(aljanobi)
(الشرقيه),(alsharqiya)
(العروبة),(al'oroba)
(العامري),(ala'amiri)
